x,y,z,date
0.05,0.94,0.38,2018-12-11 10:52:14.095543
0.76,0.76,0.13,2018-12-11 10:52:14.117314
0.77,0.69,0.04,2018-12-11 10:52:14.138884
0.35,0.63,0.17,2018-12-11 10:52:14.160383
0.26,0.58,0.23,2018-12-11 10:52:14.182100
0.27,0.63,0.19,2018-12-11 10:52:14.203746
0.32,0.69,0.15,2018-12-11 10:52:14.225289
0.38,0.78,0.07,2018-12-11 10:52:14.246936
0.39,0.92,0.02,2018-12-11 10:52:14.268424
0.4,1.0,0.0,2018-12-11 10:52:14.290195
0.39,1.01,0.02,2018-12-11 10:52:14.312317
0.35,1.04,0.01,2018-12-11 10:52:14.334329
0.35,0.97,0.06,2018-12-11 10:52:14.356159
0.34,0.91,0.1,2018-12-11 10:52:14.377699
0.37,0.93,0.12,2018-12-11 10:52:14.399557
0.26,0.94,0.02,2018-12-11 10:52:14.421621
0.33,1.08,0.1,2018-12-11 10:52:14.443543
0.36,1.05,0.04,2018-12-11 10:52:14.465376
0.38,0.94,0.0,2018-12-11 10:52:14.486987
0.38,0.92,0.01,2018-12-11 10:52:14.508587
0.4,0.9,0.0,2018-12-11 10:52:14.530162
0.4,0.78,0.09,2018-12-11 10:52:14.552038
0.44,0.72,0.12,2018-12-11 10:52:14.573955
0.5,0.63,0.05,2018-12-11 10:52:14.595481
0.86,0.48,0.35,2018-12-11 10:52:14.616606
1.54,0.01,0.58,2018-12-11 10:52:14.638085
2.56,0.03,0.75,2018-12-11 10:52:14.659932
2.04,0.56,0.81,2018-12-11 10:52:14.681902
0.35,1.17,0.17,2018-12-11 10:52:14.703735
2.0,0.09,2.14,2018-12-11 10:52:14.725406
2.85,1.36,1.64,2018-12-11 10:52:14.751388
3.64,1.19,0.79,2018-12-11 10:52:14.774415
2.63,0.78,0.88,2018-12-11 10:52:14.796134
0.99,0.49,0.16,2018-12-11 10:52:14.818898
0.6,1.0,0.19,2018-12-11 10:52:14.840771
0.34,1.09,0.38,2018-12-11 10:52:14.862430
0.0,0.92,0.34,2018-12-11 10:52:14.884420
0.43,0.74,0.12,2018-12-11 10:52:14.906201
0.47,0.64,0.05,2018-12-11 10:52:14.929976
0.46,0.64,0.15,2018-12-11 10:52:14.951725
0.45,0.71,0.12,2018-12-11 10:52:14.973571
0.45,0.84,0.05,2018-12-11 10:52:14.995375
0.5,0.83,0.01,2018-12-11 10:52:15.017144
0.58,0.82,0.04,2018-12-11 10:52:15.038626
0.65,0.81,0.03,2018-12-11 10:52:15.060501
0.59,0.91,0.0,2018-12-11 10:52:15.082419
0.52,0.84,0.02,2018-12-11 10:52:15.104397
0.5,0.85,0.11,2018-12-11 10:52:15.125912
0.49,0.78,0.14,2018-12-11 10:52:15.147765
0.4,0.82,0.04,2018-12-11 10:52:15.169446
0.41,0.93,0.06,2018-12-11 10:52:15.191297
0.46,0.94,0.0,2018-12-11 10:52:15.213441
0.49,0.98,0.02,2018-12-11 10:52:15.235035
0.41,1.0,0.14,2018-12-11 10:52:15.256417
0.44,0.93,0.02,2018-12-11 10:52:15.278030
0.45,0.79,0.03,2018-12-11 10:52:15.299966
0.5,0.78,0.01,2018-12-11 10:52:15.321069
0.59,0.69,0.07,2018-12-11 10:52:15.343125
0.65,0.48,0.23,2018-12-11 10:52:15.364905
1.2,0.38,0.44,2018-12-11 10:52:15.386653
2.1,0.03,0.72,2018-12-11 10:52:15.408178
2.61,0.4,0.85,2018-12-11 10:52:15.429948
1.61,0.85,0.24,2018-12-11 10:52:15.451582
1.03,1.05,1.19,2018-12-11 10:52:15.473899
2.5,1.18,2.18,2018-12-11 10:52:15.495369
2.96,0.1,0.92,2018-12-11 10:52:15.517554
3.83,1.53,1.35,2018-12-11 10:52:15.539268
2.77,0.43,0.97,2018-12-11 10:52:15.560972
1.09,0.39,0.09,2018-12-11 10:52:15.582646
0.64,1.09,0.39,2018-12-11 10:52:15.605076
0.38,1.1,0.63,2018-12-11 10:52:15.626651
0.12,0.9,0.43,2018-12-11 10:52:15.648233
0.36,0.64,0.19,2018-12-11 10:52:15.669748
0.5,0.53,0.16,2018-12-11 10:52:15.690750
0.56,0.44,0.34,2018-12-11 10:52:15.712843
0.56,0.62,0.18,2018-12-11 10:52:15.734749
0.39,0.84,0.06,2018-12-11 10:52:15.756036
0.47,0.81,0.05,2018-12-11 10:52:15.777777
0.58,0.74,0.09,2018-12-11 10:52:15.799282
0.6,0.85,0.01,2018-12-11 10:52:15.821081
0.58,0.94,0.0,2018-12-11 10:52:15.842977
0.53,0.84,0.05,2018-12-11 10:52:15.865040
0.38,0.84,0.08,2018-12-11 10:52:15.886672
0.43,0.84,0.08,2018-12-11 10:52:15.908208
0.45,0.85,0.08,2018-12-11 10:52:15.931827
0.45,0.9,0.05,2018-12-11 10:52:15.953801
0.47,0.92,0.02,2018-12-11 10:52:15.975288
0.49,0.88,0.04,2018-12-11 10:52:15.997060
0.5,0.8,0.11,2018-12-11 10:52:16.018872
0.56,0.66,0.22,2018-12-11 10:52:16.040352
0.75,0.43,0.5,2018-12-11 10:52:16.062165
1.74,0.05,0.63,2018-12-11 10:52:16.084128
2.1,0.22,0.84,2018-12-11 10:52:16.105986
1.63,0.76,0.68,2018-12-11 10:52:16.127640
0.53,0.84,0.95,2018-12-11 10:52:16.149252
2.04,1.36,1.94,2018-12-11 10:52:16.170647
1.78,1.55,1.1,2018-12-11 10:52:16.192240
2.12,0.91,0.23,2018-12-11 10:52:16.214185
2.95,0.95,1.1,2018-12-11 10:52:16.235677
1.97,0.61,0.22,2018-12-11 10:52:16.263165
1.34,0.99,0.33,2018-12-11 10:52:16.284793
0.98,1.13,0.49,2018-12-11 10:52:16.306603
0.34,0.94,0.28,2018-12-11 10:52:16.328421
0.0,0.51,0.05,2018-12-11 10:52:16.349997
0.46,0.42,0.3,2018-12-11 10:52:16.371564
0.51,0.53,0.23,2018-12-11 10:52:16.393699
0.41,0.87,0.08,2018-12-11 10:52:16.415429
0.29,0.86,0.1,2018-12-11 10:52:16.437149
0.31,0.79,0.14,2018-12-11 10:52:16.458592
0.43,0.81,0.08,2018-12-11 10:52:16.480222
